epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,953.875,0.94788,0.57703,1.03169,0.9105,0.82231,0.89611,0.61604,1.0241,0.59626,1.07584,0.000300866,0.000300866,0.000300866
2,1909.4,0.98197,0.60385,1.0392,0.89343,0.80788,0.87246,0.5839,1.09102,0.64038,1.09122,0.000588921,0.000588921,0.000588921
3,2864.29,1.02772,0.6675,1.06624,0.89833,0.79483,0.86084,0.56874,1.11076,0.67684,1.11165,0.000861976,0.000861976,0.000861976
4,3823.78,1.04649,0.68926,1.06905,0.87945,0.80762,0.85954,0.55306,1.11609,0.69238,1.12852,0.000841507,0.000841507,0.000841507
5,4782.1,1.05427,0.68667,1.07048,0.87434,0.79792,0.85355,0.55546,1.13675,0.7504,1.14782,0.000819009,0.000819009,0.000819009
6,5738.77,1.04896,0.68994,1.07841,0.8908,0.79287,0.85405,0.56602,1.10411,0.67152,1.12337,0.000796511,0.000796511,0.000796511
7,6692.82,1.03488,0.67404,1.07402,0.92895,0.7962,0.86309,0.57678,1.10533,0.67566,1.11584,0.000774013,0.000774013,0.000774013
8,7646.93,1.03897,0.66287,1.06597,0.86327,0.77234,0.83673,0.55406,1.11854,0.70107,1.12524,0.000751516,0.000751516,0.000751516
9,8600.64,1.0375,0.6683,1.07106,0.90672,0.79652,0.87094,0.5773,1.09504,0.68256,1.11095,0.000729018,0.000729018,0.000729018
10,9568.82,1.02047,0.65934,1.06361,0.91642,0.82504,0.87922,0.5819,1.07839,0.64806,1.1033,0.00070652,0.00070652,0.00070652
11,10547.2,1.02789,0.65915,1.06519,0.86816,0.8145,0.86596,0.57597,1.0808,0.67172,1.11029,0.000684022,0.000684022,0.000684022
12,11534,1.02585,0.65268,1.06825,0.92299,0.78446,0.86813,0.57485,1.08225,0.66581,1.10388,0.000661525,0.000661525,0.000661525
13,12367.5,1.02131,0.64149,1.06441,0.86922,0.8233,0.86742,0.57807,1.06618,0.6304,1.09684,0.000639027,0.000639027,0.000639027
