epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,13209.2,1.0139,0.62717,1.05691,0.89345,0.80939,0.87564,0.58354,1.09484,0.64854,1.10838,0.000616529,0.000616529,0.000616529
15,14064.7,1.01362,0.6291,1.0622,0.88577,0.82292,0.88101,0.60746,1.05332,0.61426,1.09724,0.000594031,0.000594031,0.000594031
16,14915.1,0.99795,0.62225,1.05155,0.8938,0.80553,0.87299,0.5866,1.06011,0.62519,1.09372,0.000571534,0.000571534,0.000571534
17,15765.2,0.99412,0.60684,1.04657,0.90189,0.81992,0.87487,0.59983,1.05182,0.60002,1.0849,0.000549036,0.000549036,0.000549036
18,16623.9,0.99047,0.60428,1.04471,0.91786,0.83525,0.89432,0.59679,1.03869,0.59572,1.08274,0.000526538,0.000526538,0.000526538
19,17492.1,0.97602,0.59534,1.03793,0.87053,0.85066,0.89347,0.60375,1.05297,0.60004,1.08301,0.00050404,0.00050404,0.00050404
20,18363.9,0.98001,0.59399,1.0375,0.93543,0.78804,0.86878,0.58778,1.05066,0.62725,1.08586,0.000481543,0.000481543,0.000481543
21,19234,0.96095,0.57052,1.02877,0.91168,0.84844,0.9071,0.60694,1.03938,0.59066,1.0865,0.000459045,0.000459045,0.000459045
22,20109.6,0.96457,0.57367,1.03208,0.90542,0.81772,0.89286,0.6081,1.03169,0.58028,1.07939,0.000436547,0.000436547,0.000436547
23,20978.6,0.95472,0.57038,1.02833,0.91579,0.83158,0.89322,0.61002,1.03023,0.58601,1.07591,0.000414049,0.000414049,0.000414049
24,21934.7,0.94111,0.56006,1.023,0.92683,0.83546,0.9041,0.61017,1.03329,0.58352,1.07757,0.000391552,0.000391552,0.000391552
25,22892.7,0.94262,0.55713,1.02012,0.91336,0.84917,0.90282,0.62045,1.02139,0.56891,1.06671,0.000369054,0.000369054,0.000369054
26,23845.9,0.93932,0.55063,1.01983,0.92855,0.83176,0.89499,0.61545,1.02659,0.56799,1.07334,0.000346556,0.000346556,0.000346556
27,24802.9,0.93685,0.54377,1.02236,0.91645,0.84107,0.89699,0.61813,1.01837,0.56234,1.06596,0.000324058,0.000324058,0.000324058
28,25766.6,0.92489,0.53991,1.01904,0.89906,0.86732,0.90926,0.62291,1.0185,0.55385,1.0637,0.000301561,0.000301561,0.000301561
29,26725.6,0.91795,0.5322,1.00999,0.90968,0.84453,0.90148,0.62475,1.01432,0.54549,1.06172,0.000279063,0.000279063,0.000279063
30,27684.4,0.92841,0.53696,1.01677,0.91429,0.85942,0.9,0.62548,1.00702,0.54209,1.0635,0.000256565,0.000256565,0.000256565
31,28636.3,0.89001,0.47983,0.99805,0.89253,0.87031,0.90513,0.6271,1.00037,0.53775,1.05992,0.000234068,0.000234068,0.000234068
32,29584.3,0.87835,0.46506,0.99227,0.93857,0.85778,0.92257,0.631,1.00244,0.536,1.05902,0.00021157,0.00021157,0.00021157
33,30532.1,0.87044,0.45803,0.98767,0.9417,0.85678,0.92529,0.6409,0.999,0.5351,1.05637,0.000189072,0.000189072,0.000189072
34,31657.1,0.866,0.45304,0.98269,0.92954,0.86136,0.91962,0.63949,1.00092,0.52809,1.05922,0.000166574,0.000166574,0.000166574
35,32690.1,0.85523,0.4436,0.97636,0.92831,0.8613,0.91754,0.63503,1.00023,0.53046,1.05724,0.000144077,0.000144077,0.000144077
36,33725.7,0.847,0.4405,0.9696,0.92714,0.86242,0.92108,0.63999,0.99587,0.52686,1.05458,0.000121579,0.000121579,0.000121579
37,34671.6,0.83347,0.43007,0.97144,0.93686,0.84774,0.92002,0.63965,0.992,0.52351,1.05337,9.9081e-05,9.9081e-05,9.9081e-05
38,35608.1,0.82872,0.42826,0.967,0.91139,0.88167,0.92152,0.64412,0.98461,0.52337,1.05083,7.65832e-05,7.65832e-05,7.65832e-05
39,36550.5,0.82467,0.42443,0.96626,0.93468,0.85849,0.92214,0.64371,0.9849,0.52174,1.05359,5.40855e-05,5.40855e-05,5.40855e-05
40,37496.4,0.82679,0.42349,0.96591,0.95225,0.85735,0.92413,0.64513,0.98077,0.51706,1.04971,3.15878e-05,3.15878e-05,3.15878e-05
